album,title,duration_sec,librosa_tempo,librosa_key,librosa_mode,librosa_key_confidence,librosa_rms_energy,librosa_spectral_centroid_hz,librosa_spectral_bandwidth_hz,librosa_spectral_rolloff_hz,librosa_zero_crossing_rate,librosa_dynamic_range_db,librosa_beat_strength_proxy
you seem pretty sad for a girl so in love,Drop Dead,224.4,129.2,G#,Major,0.913,0.23285,2207.7,2395.6,4602.5,0.09953,14.88,2.839
you seem pretty sad for a girl so in love,Stupid Song,208.2,129.2,B,Major,0.863,0.21394,2158.3,2391.7,4526.3,0.09161,17.3,2.708
you seem pretty sad for a girl so in love,Honeybee,224.7,136.0,E,Major,0.786,0.13444,1519.4,2015.8,2930.0,0.05975,20.18,2.332
you seem pretty sad for a girl so in love,Maggots for Brains,240.4,161.5,A,Major,0.98,0.24956,2329.6,2583.1,5102.7,0.09808,10.03,3.184
you seem pretty sad for a girl so in love,U + Me = <3,247.4,143.55,G,Major,0.916,0.25386,2460.9,2659.7,5525.4,0.10598,7.1,3.322
you seem pretty sad for a girl so in love,My Way,180.7,143.55,A,Minor,0.61,0.25371,2731.6,2690.8,5896.5,0.12312,6.83,3.608
you seem pretty sad for a girl so in love,Purple,240.2,152.0,D,Major,0.866,0.18334,1665.9,2212.8,3452.0,0.06028,19.14,3.173
you seem pretty sad for a girl so in love,The Cure,297.0,143.55,C#,Major,0.81,0.22347,1858.5,2223.2,3898.7,0.07389,12.92,2.871
you seem pretty sad for a girl so in love,Begged,224.1,129.2,G#,Major,0.924,0.16236,1521.8,2016.7,2951.4,0.06047,16.88,2.151
you seem pretty sad for a girl so in love,What's Wrong with Me (feat. Robert Smith),226.2,123.05,F#,Major,0.904,0.19468,2217.5,2424.8,4671.5,0.09614,15.87,2.685
you seem pretty sad for a girl so in love,Expectations,222.1,136.0,G,Minor,0.561,0.23916,2646.6,2714.3,5791.4,0.11623,9.66,2.687
you seem pretty sad for a girl so in love,Cigarette Smoke,340.1,83.35,D,Major,0.901,0.13969,2001.8,2336.5,4211.1,0.08184,24.46,3.248
